"№","Название","Скидка/Список","ID игры","Платформа","Предзаказ","Обычная цена","Скидка %","Новая цена","Дата окончания","Цены изданий","Рус. озвучка","Рус. текст","Подписки","Ссылка","Дата релиза","Жанр","PEGI"
"ghost_1789627054011_z65vn","Röki","TOKYO GAME SHOW","—","—","Нет","699,00 TL","85%","104,85 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627054531_5jy6n","The Adventure Pals","TOKYO GAME SHOW","—","—","Нет","649,00 TL","80%","129,80 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627054870_gybf9","RollerCoaster Legends","TOKYO GAME SHOW","—","—","Нет","343,00 TL","10%","308,70 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627055268_czw9p","Redeemer","TOKYO GAME SHOW","—","—","Нет","649,00 TL","75%","162,25 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627055681_gs6nu","Trüberbrook","TOKYO GAME SHOW","—","—","Нет","1.049,00 TL","90%","104,90 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627056024_8hm8e","Lucky's Tale","TOKYO GAME SHOW","—","—","Нет","774,00 TL","80%","154,80 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627056501_9vbup","Unsolved Case: Above the Law CE","TOKYO GAME SHOW","—","—","Нет","419,00 TL","20%","335,20 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627056844_87888","Unsolved Case: Killer Popularity CE","TOKYO GAME SHOW","—","—","Нет","419,00 TL","20%","335,20 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627057202_eltxu","Unsolved Case: Murderous Script CE","TOKYO GAME SHOW","—","—","Нет","419,00 TL","20%","335,20 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627057926_ugzef","Majogami","TOKYO GAME SHOW","—","—","Нет","1.299,00 TL","20%","1.039,20 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627058463_j5mup","Yohane the Parhelion -BLAZE in the DEEPBLUE","TOKYO GAME SHOW","—","—","Нет","1.049,00 TL","60%","419,60 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627058816_w6vv8","Scar-Lead Salvation","TOKYO GAME SHOW","—","—","Нет","1.299,00 TL","45%","714,45 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627059181_mhe09","Sclash","TOKYO GAME SHOW","—","—","Нет","349,00 TL","80%","69,80 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627059535_o9qpk","Megadimension Neptunia VIIR","TOKYO GAME SHOW","—","—","Нет","1.049,00 TL","60%","419,60 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627060121_ed67t","Sakura Swim Club","TOKYO GAME SHOW","—","—","Нет","349,00 TL","50%","174,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627061581_rm79s","The Black Within","TOKYO GAME SHOW","—","—","Нет","279,00 TL","40%","167,40 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627061958_mloly","The Bookwalker: Thief of Tales","TOKYO GAME SHOW","—","—","Нет","525,00 TL","75%","131,25 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
"ghost_1789627062350_g965q","Love Too Easily","TOKYO GAME SHOW","—","—","Нет","769,00 TL","50%","384,50 TL","2026-09-24","","Нет","Нет","","#","—","—","—"
